size,iterations,n_threads,time
1000,500,2,2.227632
1000,500,2,2.164189
1000,500,2,2.156642
1000,500,2,2.160494
1000,500,2,2.200933
1000,500,2,2.157914
1000,500,2,2.192039
1000,500,2,2.159146
2000,500,2,8.856753
2000,500,2,8.827183
2000,500,2,8.929476
2000,500,2,8.857965
2000,500,2,8.870861
2000,500,2,8.82535
2000,500,2,8.890952
2000,500,2,8.85582
2000,500,2,8.827014
2000,500,2,8.877249
3000,500,2,20.078371
3000,500,2,20.078429
3000,500,2,20.08468
3000,500,2,20.175491
3000,500,2,20.05148
3000,500,2,20.099518
3000,500,2,20.161545
3000,500,2,20.035526
3000,500,2,20.123896
3000,500,2,20.132393
500,50,4,0.035002
500,50,4,0.035703
500,50,4,0.035791
500,50,4,0.035541
500,50,4,0.034444
500,50,4,0.035721
500,50,4,0.035997
500,50,4,0.036126
500,50,4,0.036292
500,50,4,0.036046
1000,50,4,0.142033
1000,50,4,0.137231
1000,50,4,0.147133
1000,50,4,0.142355
1000,50,4,0.139314
1000,50,4,0.141665
1000,50,4,0.138725
1000,50,4,0.13808
1000,50,4,0.139431
1000,50,4,0.138548
2000,50,4,0.550543
2000,50,4,0.564156
2000,50,4,0.548153
2000,50,4,0.55154
2000,50,4,0.549188
2000,50,4,0.548067
2000,50,4,0.551173
2000,50,4,0.546571
2000,50,4,0.548434
2000,50,4,0.547829
3000,50,4,1.245199
3000,50,4,1.244762
3000,50,4,1.247504
3000,50,4,1.245706
3000,50,4,1.245743
3000,50,4,1.246216
3000,50,4,1.255637
3000,50,4,1.248771
3000,50,4,1.256324
3000,50,4,1.244572
500,100,4,0.068767
500,100,4,0.067662
500,100,4,0.066274
500,100,4,0.067452
500,100,4,0.066378
500,100,4,0.065656
500,100,4,0.065773
500,100,4,0.066004
500,100,4,0.065707
500,100,4,0.066736
1000,100,4,0.257713
1000,100,4,0.257549
1000,100,4,0.257019
1000,100,4,0.261054
1000,100,4,0.259594
1000,100,4,0.25891
1000,100,4,0.259618
1000,100,4,0.273887
1000,100,4,0.265763
1000,100,4,0.258914
2000,100,4,1.032096
2000,100,4,1.033993
2000,100,4,1.034049
2000,100,4,1.036582
2000,100,4,1.03228
2000,100,4,1.032452
2000,100,4,1.03041
2000,100,4,1.037966
2000,100,4,1.032206
2000,100,4,1.033774
3000,100,4,2.340695
3000,100,4,2.340799
3000,100,4,2.343061
3000,100,4,2.341651
3000,100,4,2.345366
3000,100,4,2.340756
3000,100,4,2.34401
3000,100,4,2.347477
3000,100,4,2.344567
3000,100,4,2.344091
500,200,4,0.122518
500,200,4,0.126071
500,200,4,0.123561
500,200,4,0.122149
500,200,4,0.12853
500,200,4,0.126493
500,200,4,0.123398
500,200,4,0.121792
500,200,4,0.123019
500,200,4,0.125927
1000,200,4,0.487702
1000,200,4,0.504498
1000,200,4,0.491406
1000,200,4,0.488898
1000,200,4,0.496083
1000,200,4,0.489355
1000,200,4,0.491018
1000,200,4,0.489346
1000,200,4,0.486011
1000,200,4,0.503079
2000,200,4,1.95122
2000,200,4,1.946303
2000,200,4,1.947823
2000,200,4,1.946169
2000,200,4,1.947053
2000,200,4,1.946705
2000,200,4,1.946994
2000,200,4,1.954362
2000,200,4,1.948378
2000,200,4,1.944993
3000,200,4,4.438944
3000,200,4,4.437777
3000,200,4,4.441628
3000,200,4,4.440841
3000,200,4,4.441134
3000,200,4,4.44591
3000,200,4,4.449417
3000,200,4,4.444169
3000,200,4,4.444766
3000,200,4,4.465116
500,500,4,0.286833
500,500,4,0.294768
500,500,4,0.294688
500,500,4,0.297818
500,500,4,0.296004
500,500,4,0.293707
500,500,4,0.293013
500,500,4,0.293512
500,500,4,0.290232
500,500,4,0.285476
1000,500,4,1.142071
1000,500,4,1.141487
1000,500,4,1.138861
1000,500,4,1.13853
1000,500,4,1.145063
1000,500,4,1.141115
1000,500,4,1.146914
1000,500,4,1.145745
1000,500,4,1.137589
1000,500,4,1.141426
2000,500,4,4.579014
2000,500,4,4.577205
2000,500,4,4.586702
2000,500,4,4.580395
2000,500,4,4.581086
2000,500,4,4.575264
2000,500,4,4.57434
2000,500,4,4.571898
2000,500,4,4.574165
2000,500,4,4.56581
3000,500,4,10.506458
3000,500,4,10.52055
3000,500,4,10.490341
3000,500,4,10.531215
3000,500,4,10.501576
3000,500,4,10.528636
3000,500,4,10.509987
3000,500,4,10.518795
3000,500,4,10.507569
3000,500,4,10.503291
500,50,8,0.018378
500,50,8,0.018228
500,50,8,0.01828
500,50,8,0.018333
500,50,8,0.018219
500,50,8,0.018469
500,50,8,0.018329
500,50,8,0.018167
500,50,8,0.018263
500,50,8,0.018313
1000,50,8,0.073214
1000,50,8,0.072813
1000,50,8,0.072979
1000,50,8,0.073408
1000,50,8,0.072973
1000,50,8,0.073201
1000,50,8,0.073258
1000,50,8,0.073066
1000,50,8,0.072771
1000,50,8,0.073189
2000,50,8,0.295365
2000,50,8,0.295096
2000,50,8,0.29551
2000,50,8,0.294996
2000,50,8,0.295042
2000,50,8,0.295776
2000,50,8,0.295354
2000,50,8,0.294993
2000,50,8,0.295977
2000,50,8,0.295456
3000,50,8,0.685035
3000,50,8,0.684463
3000,50,8,0.685227
3000,50,8,0.683642
3000,50,8,0.683957
3000,50,8,0.684518
3000,50,8,0.685049
3000,50,8,0.685195
3000,50,8,0.684775
3000,50,8,0.684362
500,100,8,0.0347
500,100,8,0.034347
500,100,8,0.034608
500,100,8,0.034611
500,100,8,0.034468
500,100,8,0.03445
500,100,8,0.034282
500,100,8,0.034815
500,100,8,0.034533
500,100,8,0.034495
1000,100,8,0.13636
1000,100,8,0.13699
1000,100,8,0.137487
1000,100,8,0.136991
1000,100,8,0.137133
1000,100,8,0.137635
1000,100,8,0.137793
1000,100,8,0.136406
1000,100,8,0.136913
1000,100,8,0.13674
2000,100,8,0.553531
2000,100,8,0.554883
2000,100,8,0.55436
2000,100,8,0.555165
2000,100,8,0.554712
2000,100,8,0.553176
2000,100,8,0.555285
2000,100,8,0.554925
2000,100,8,0.554854
2000,100,8,0.552736
3000,100,8,1.283914
3000,100,8,1.284147
3000,100,8,1.281346
3000,100,8,1.288804
3000,100,8,1.287065
3000,100,8,1.285043
3000,100,8,1.284771
3000,100,8,1.285083
3000,100,8,1.284106
3000,100,8,1.286789
500,200,8,0.065568
500,200,8,0.065174
500,200,8,0.065879
500,200,8,0.065752
500,200,8,0.065588
500,200,8,0.065066
500,200,8,0.065427
500,200,8,0.064883
500,200,8,0.065327
500,200,8,0.065255
1000,200,8,0.260194
1000,200,8,0.259472
1000,200,8,0.258427
1000,200,8,0.258521
1000,200,8,0.25919
1000,200,8,0.258297
1000,200,8,0.259451
1000,200,8,0.259009
1000,200,8,0.258673
1000,200,8,0.258956
2000,200,8,1.050537
2000,200,8,1.049621
2000,200,8,1.053391
2000,200,8,1.050606
2000,200,8,1.050592
2000,200,8,1.052266
2000,200,8,1.052976
2000,200,8,1.050609
2000,200,8,1.049627
2000,200,8,1.050112
3000,200,8,2.431886
3000,200,8,2.436681
3000,200,8,2.436809
3000,200,8,2.429037
3000,200,8,2.433758
3000,200,8,2.440019
3000,200,8,2.434835
3000,200,8,2.432072
3000,200,8,2.437378
3000,200,8,2.437809
500,500,8,0.153538
500,500,8,0.153802
500,500,8,0.153083
500,500,8,0.154165
500,500,8,0.15345
500,500,8,0.154183
500,500,8,0.153394
500,500,8,0.154367
500,500,8,0.154129
500,500,8,0.154108
1000,500,8,0.607658
1000,500,8,0.604659
1000,500,8,0.606568
1000,500,8,0.607175
1000,500,8,0.607632
1000,500,8,0.606939
1000,500,8,0.607086
1000,500,8,0.606979
1000,500,8,0.606017
1000,500,8,0.606703
2000,500,8,2.465852
2000,500,8,2.462128
2000,500,8,2.461903
2000,500,8,2.464287
2000,500,8,2.466035
2000,500,8,2.459808
2000,500,8,2.46168
2000,500,8,2.463019
2000,500,8,2.461916
2000,500,8,2.464545
3000,500,8,5.750621
3000,500,8,5.755626
3000,500,8,5.754306
3000,500,8,5.7426
3000,500,8,5.748116
3000,500,8,5.750222
3000,500,8,5.753822
3000,500,8,5.741283
3000,500,8,5.748378
3000,500,8,5.754358
500,50,10,0.014877
500,50,10,0.014754
500,50,10,0.014913
500,50,10,0.014777
500,50,10,0.014745
500,50,10,0.014746
500,50,10,0.014834
500,50,10,0.014863
500,50,10,0.014777
500,50,10,0.014668
1000,50,10,0.058956
1000,50,10,0.058843
1000,50,10,0.058752
1000,50,10,0.058899
1000,50,10,0.059192
1000,50,10,0.058876
1000,50,10,0.058865
1000,50,10,0.058995
1000,50,10,0.058755
1000,50,10,0.058932
2000,50,10,0.237621
2000,50,10,0.238036
2000,50,10,0.237543
2000,50,10,0.238283
2000,50,10,0.237727
2000,50,10,0.237898
2000,50,10,0.238303
2000,50,10,0.238063
2000,50,10,0.238439
2000,50,10,0.238341
3000,50,10,0.55881
3000,50,10,0.557188
3000,50,10,0.55774
3000,50,10,0.558673
3000,50,10,0.557546
3000,50,10,0.557499
3000,50,10,0.557831
3000,50,10,0.558709
3000,50,10,0.559497
3000,50,10,0.557016
500,100,10,0.02809
500,100,10,0.02796
500,100,10,0.028036
500,100,10,0.02785
500,100,10,0.027831
500,100,10,0.027855
500,100,10,0.028094
500,100,10,0.028006
500,100,10,0.027855
500,100,10,0.027995
1000,100,10,0.110448
1000,100,10,0.110444
1000,100,10,0.110745
1000,100,10,0.110857
1000,100,10,0.110441
1000,100,10,0.110775
1000,100,10,0.110118
1000,100,10,0.110345
1000,100,10,0.110566
1000,100,10,0.110258
2000,100,10,0.446818
2000,100,10,0.446291
2000,100,10,0.446388
2000,100,10,0.445835
2000,100,10,0.446211
2000,100,10,0.446133
2000,100,10,0.446467
2000,100,10,0.44595
2000,100,10,0.447482
2000,100,10,0.445749
3000,100,10,1.050837
3000,100,10,1.049389
3000,100,10,1.048116
3000,100,10,1.048346
3000,100,10,1.048072
3000,100,10,1.049225
3000,100,10,1.048179
3000,100,10,1.048883
3000,100,10,1.049035
3000,100,10,1.048319
500,200,10,0.052998
500,200,10,0.052921
500,200,10,0.052993
500,200,10,0.052953
500,200,10,0.052838
500,200,10,0.053034
500,200,10,0.052795
500,200,10,0.052725
500,200,10,0.052802
500,200,10,0.05244
1000,200,10,0.207852
1000,200,10,0.208385
1000,200,10,0.208562
1000,200,10,0.207901
1000,200,10,0.209335
1000,200,10,0.208233
1000,200,10,0.208873
1000,200,10,0.208189
1000,200,10,0.20847
1000,200,10,0.208769
2000,200,10,0.84775
2000,200,10,0.848405
2000,200,10,0.847833
2000,200,10,0.847394
2000,200,10,0.848388
2000,200,10,0.847377
2000,200,10,0.846111
2000,200,10,0.847466
2000,200,10,0.847745
2000,200,10,0.845679
3000,200,10,1.982681
3000,200,10,1.98694
3000,200,10,1.984692
3000,200,10,1.98761
3000,200,10,1.985284
3000,200,10,1.987634
3000,200,10,1.982525
3000,200,10,1.982753
3000,200,10,1.990305
3000,200,10,1.982709
500,500,10,0.123568
500,500,10,0.122951
500,500,10,0.124042
500,500,10,0.124104
500,500,10,0.12399
500,500,10,0.123737
500,500,10,0.123821
500,500,10,0.123588
500,500,10,0.12319
500,500,10,0.123448
1000,500,10,0.489318
1000,500,10,0.489291
1000,500,10,0.489144
1000,500,10,0.487617
1000,500,10,0.488765
1000,500,10,0.490208
1000,500,10,0.488186
1000,500,10,0.487677
1000,500,10,0.487935
1000,500,10,0.48945
2000,500,10,1.982703
2000,500,10,1.981912
2000,500,10,1.986256
2000,500,10,1.983198
2000,500,10,1.97911
2000,500,10,1.982331
2000,500,10,1.984306
2000,500,10,1.975718
2000,500,10,1.985146
2000,500,10,1.97972
3000,500,10,4.690543
3000,500,10,4.694161
3000,500,10,4.686312
3000,500,10,4.69271
3000,500,10,4.688675
3000,500,10,4.694401
3000,500,10,4.694264
3000,500,10,4.694682
3000,500,10,4.693976
3000,500,10,4.686363
500,50,12,0.01271
500,50,12,0.012752
500,50,12,0.012679
500,50,12,0.012679
500,50,12,0.012819
500,50,12,0.012744
500,50,12,0.012687
500,50,12,0.012621
500,50,12,0.012712
500,50,12,0.012758
1000,50,12,0.049838
1000,50,12,0.049417
1000,50,12,0.049458
1000,50,12,0.049581
1000,50,12,0.049416
1000,50,12,0.04936
1000,50,12,0.04956
1000,50,12,0.049404
1000,50,12,0.049427
1000,50,12,0.04967
2000,50,12,0.20013
2000,50,12,0.200374
2000,50,12,0.200433
2000,50,12,0.200405
2000,50,12,0.200506
2000,50,12,0.200236
2000,50,12,0.200384
2000,50,12,0.200821
2000,50,12,0.20043
2000,50,12,0.200212
3000,50,12,0.473003
3000,50,12,0.472996
3000,50,12,0.47395
3000,50,12,0.473974
3000,50,12,0.472976
3000,50,12,0.472793
3000,50,12,0.471916
3000,50,12,0.47234
3000,50,12,0.473356
3000,50,12,0.474349
500,100,12,0.023951
500,100,12,0.023783
500,100,12,0.023926
500,100,12,0.023987
500,100,12,0.023973
500,100,12,0.024034
500,100,12,0.023993
500,100,12,0.02397
500,100,12,0.023954
500,100,12,0.024035
1000,100,12,0.093126
1000,100,12,0.092637
1000,100,12,0.092778
1000,100,12,0.092258
1000,100,12,0.092648
1000,100,12,0.092929
1000,100,12,0.092514
1000,100,12,0.09308
1000,100,12,0.092902
1000,100,12,0.092953
2000,100,12,0.377362
2000,100,12,0.375688
2000,100,12,0.376307
2000,100,12,0.376268
2000,100,12,0.3771
2000,100,12,0.376689
2000,100,12,0.375744
2000,100,12,0.376191
2000,100,12,0.375975
2000,100,12,0.376528
3000,100,12,0.889633
3000,100,12,0.888696
3000,100,12,0.887591
3000,100,12,0.889416
3000,100,12,0.889304
3000,100,12,0.890677
3000,100,12,0.890338
3000,100,12,0.890327
3000,100,12,0.889079
3000,100,12,0.889427
500,200,12,0.044677
500,200,12,0.045281
500,200,12,0.045151
500,200,12,0.045039
500,200,12,0.04539
500,200,12,0.045077
500,200,12,0.044893
500,200,12,0.045387
500,200,12,0.045166
500,200,12,0.045179
1000,200,12,0.174524
1000,200,12,0.175467
1000,200,12,0.174985
1000,200,12,0.174903
1000,200,12,0.175247
1000,200,12,0.174577
1000,200,12,0.174487
1000,200,12,0.174421
1000,200,12,0.174925
1000,200,12,0.17559
2000,200,12,0.712933
2000,200,12,0.710386
2000,200,12,0.712626
2000,200,12,0.711279
2000,200,12,0.710841
2000,200,12,0.711716
2000,200,12,0.71214
2000,200,12,0.713819
2000,200,12,0.711721
2000,200,12,0.711166
3000,200,12,1.682848
3000,200,12,1.679172
3000,200,12,1.686594
3000,200,12,1.682735
3000,200,12,1.68447
3000,200,12,1.678804
3000,200,12,1.684025
3000,200,12,1.680916
3000,200,12,1.683248
3000,200,12,1.682077
500,500,12,0.10496
500,500,12,0.105049
500,500,12,0.105511
500,500,12,0.105801
500,500,12,0.105307
500,500,12,0.105381
500,500,12,0.105415
500,500,12,0.10486
500,500,12,0.104795
500,500,12,0.105201
1000,500,12,0.411461
1000,500,12,0.412958
1000,500,12,0.413054
1000,500,12,0.410124
1000,500,12,0.408479
1000,500,12,0.409426
1000,500,12,0.411267
1000,500,12,0.409001
1000,500,12,0.411582
1000,500,12,0.408681
2000,500,12,1.677332
2000,500,12,1.674063
2000,500,12,1.6722
2000,500,12,1.675777
2000,500,12,1.67618
2000,500,12,1.674737
2000,500,12,1.674748
2000,500,12,1.673715
2000,500,12,1.675437
2000,500,12,1.674272
3000,500,12,3.979337
3000,500,12,3.983779
3000,500,12,3.98455
3000,500,12,3.97749
3000,500,12,3.97755
3000,500,12,3.987209
3000,500,12,3.985573
3000,500,12,3.990458
3000,500,12,3.975624
3000,500,12,3.97763
