size,iterations,n_threads,time
3000,200,1,18.479595
3000,200,1,18.477181
3000,200,1,18.491275
500,500,1,1.168118
500,500,1,1.169508
500,500,1,1.170085
500,500,1,1.165103
500,500,1,1.17093
500,500,1,1.169382
500,500,1,1.171963
500,500,1,1.16929
500,500,1,1.17843
500,500,1,1.164817
500,500,1,1.165914
500,500,1,1.173338
500,500,1,1.171534
500,500,1,1.168542
500,500,1,1.168533
500,500,1,1.170715
500,500,1,1.170356
500,500,1,1.171511
500,500,1,1.169998
500,500,1,1.171324
1000,500,1,4.743141
1000,500,1,4.697917
1000,500,1,4.680141
1000,500,1,4.686227
1000,500,1,4.707571
1000,500,1,4.669348
1000,500,1,4.678942
1000,500,1,4.67833
1000,500,1,4.687982
1000,500,1,4.677635
1000,500,1,4.68091
1000,500,1,4.677842
1000,500,1,4.686598
1000,500,1,4.681539
1000,500,1,4.680731
1000,500,1,4.676928
1000,500,1,4.679788
1000,500,1,4.678617
1000,500,1,4.677897
1000,500,1,4.683213
2000,500,1,19.998132
2000,500,1,19.980755
2000,500,1,20.04792
2000,500,1,19.976342
2000,500,1,19.980324
2000,500,1,19.96746
2000,500,1,20.015803
2000,500,1,19.976249
2000,500,1,19.981563
2000,500,1,19.985988
2000,500,1,19.970405
2000,500,1,19.979967
2000,500,1,19.981783
2000,500,1,20.006334
2000,500,1,20.039588
2000,500,1,20.027377
2000,500,1,20.00875
2000,500,1,20.012605
2000,500,1,19.998737
2000,500,1,19.961779
3000,500,1,45.132591
3000,500,1,45.15535
3000,500,1,45.117284
3000,500,1,45.141385
3000,500,1,45.10334
3000,500,1,45.09668
3000,500,1,45.154694
3000,500,1,45.182066
3000,500,1,45.182663
3000,500,1,45.091382
3000,500,1,45.119173
3000,500,1,45.144668
3000,500,1,45.116613
3000,500,1,45.242358
3000,500,1,45.200352
3000,500,1,45.136501
3000,500,1,45.15529
3000,500,1,45.291418
3000,500,1,45.121384
3000,500,1,45.161242
500,50,2,0.066659
500,50,2,0.067003
500,50,2,0.067388
500,50,2,0.068665
500,50,2,0.069123
500,50,2,0.066594
500,50,2,0.066754
500,50,2,0.068294
500,50,2,0.066608
500,50,2,0.0662
