size,iterations,nodes,omp_threads,time
12000,100,6,8,4.287439
12000,100,6,8,4.292667
12000,100,6,8,4.290459
15000,100,6,8,6.661692
15000,100,6,8,6.658217
15000,100,6,8,6.637198
15000,100,6,8,6.653475
15000,100,6,8,6.661344
15000,100,6,8,6.663597
15000,100,6,8,6.65841
15000,100,6,8,6.659492
15000,100,6,8,6.658684
15000,100,6,8,6.638323
5000,100,2,12,12.615152
5000,100,2,12,12.607596
5000,100,2,12,12.704339
5000,100,2,12,12.612939
5000,100,2,12,12.649232
5000,100,2,12,12.640267
5000,100,2,12,12.604166
5000,100,2,12,12.613232
5000,100,2,12,12.586941
5000,100,2,12,12.605341
8000,100,2,12,31.999219
8000,100,2,12,32.040153
8000,100,2,12,31.979276
8000,100,2,12,31.953134
8000,100,2,12,32.068889
8000,100,2,12,32.037097
8000,100,2,12,32.054427
8000,100,2,12,32.021234
8000,100,2,12,32.021944
8000,100,2,12,32.038544
12000,100,2,12,72.986974
12000,100,2,12,72.770415
12000,100,2,12,72.881125
12000,100,2,12,73.11129
12000,100,2,12,72.645681
12000,100,2,12,72.717961
12000,100,2,12,72.796535
12000,100,2,12,73.560543
12000,100,2,12,72.820996
12000,100,2,12,72.731063
15000,100,2,12,113.446254
15000,100,2,12,114.169699
15000,100,2,12,113.242864
15000,100,2,12,113.784567
15000,100,2,12,113.429738
15000,100,2,12,113.765843
15000,100,2,12,113.513762
15000,100,2,12,113.361572
15000,100,2,12,113.353721
15000,100,2,12,113.654014
5000,100,4,12,0.854821
5000,100,4,12,0.852774
5000,100,4,12,0.852555
5000,100,4,12,0.854035
5000,100,4,12,0.859059
5000,100,4,12,0.85408
5000,100,4,12,0.851528
5000,100,4,12,0.873502
5000,100,4,12,0.861595
5000,100,4,12,0.852977
8000,100,4,12,2.120481
8000,100,4,12,2.128073
8000,100,4,12,2.121033
8000,100,4,12,2.120348
8000,100,4,12,2.11032
8000,100,4,12,2.116767
8000,100,4,12,2.142742
8000,100,4,12,2.117759
8000,100,4,12,2.12231
8000,100,4,12,2.151096
12000,100,4,12,4.747858
12000,100,4,12,4.750042
12000,100,4,12,4.759955
12000,100,4,12,4.743343
12000,100,4,12,4.749814
12000,100,4,12,4.769602
12000,100,4,12,4.756414
12000,100,4,12,4.747753
12000,100,4,12,4.743966
12000,100,4,12,4.768003
15000,100,4,12,7.541168
15000,100,4,12,7.491227
15000,100,4,12,7.494516
15000,100,4,12,7.509646
15000,100,4,12,7.505036
15000,100,4,12,7.518928
15000,100,4,12,7.536709
15000,100,4,12,7.498773
15000,100,4,12,7.50319
15000,100,4,12,7.544293
5000,100,6,12,0.583234
5000,100,6,12,0.579944
5000,100,6,12,0.581783
5000,100,6,12,0.586068
5000,100,6,12,0.579062
5000,100,6,12,0.584711
5000,100,6,12,0.619795
5000,100,6,12,0.580107
5000,100,6,12,0.582579
5000,100,6,12,0.58208
8000,100,6,12,1.442361
8000,100,6,12,1.444574
8000,100,6,12,1.455024
8000,100,6,12,1.443965
8000,100,6,12,1.443671
8000,100,6,12,1.439297
8000,100,6,12,1.43769
8000,100,6,12,1.444531
8000,100,6,12,1.449463
8000,100,6,12,1.446912
12000,100,6,12,3.223741
12000,100,6,12,3.235479
12000,100,6,12,3.223455
12000,100,6,12,3.222312
12000,100,6,12,3.232161
12000,100,6,12,3.224255
12000,100,6,12,3.225457
12000,100,6,12,3.217918
12000,100,6,12,3.228114
12000,100,6,12,3.237126
15000,100,6,12,4.995512
15000,100,6,12,5.007182
15000,100,6,12,4.99864
15000,100,6,12,4.980052
15000,100,6,12,4.983588
15000,100,6,12,4.990888
15000,100,6,12,4.998924
15000,100,6,12,4.981836
15000,100,6,12,4.996354
15000,100,6,12,5.009909
500,500,6,12,0.04948
500,500,6,12,0.047153
500,500,6,12,0.046954
500,500,6,12,0.047286
500,500,6,12,0.047382
500,500,6,12,0.047438
500,500,6,12,0.047912
500,500,6,12,0.046825
500,500,6,12,0.045483
1000,500,6,12,0.134685
1000,500,6,12,0.136831
1000,500,6,12,0.13803
1000,500,6,12,0.13567
1000,500,6,12,0.136222
1000,500,6,12,0.134125
1000,500,6,12,0.135145
1000,500,6,12,0.134081
1000,500,6,12,0.138148
1000,500,6,12,0.136752
2000,500,6,12,0.438397
2000,500,6,12,0.437133
2000,500,6,12,0.440347
2000,500,6,12,0.437534
2000,500,6,12,0.439088
2000,500,6,12,0.437512
2000,500,6,12,0.4384
2000,500,6,12,0.435452
2000,500,6,12,0.437559
2000,500,6,12,0.435379
3000,500,6,12,0.976062
3000,500,6,12,0.956706
3000,500,6,12,0.958038
3000,500,6,12,0.960251
3000,500,6,12,0.959333
3000,500,6,12,0.960338
3000,500,6,12,0.957344
3000,500,6,12,0.960384
3000,500,6,12,0.958651
3000,500,6,12,0.96243
4000,500,6,12,1.680161
4000,500,6,12,1.67528
4000,500,6,12,1.675374
4000,500,6,12,1.675886
4000,500,6,12,1.679676
4000,500,6,12,1.67594
4000,500,6,12,1.677345
4000,500,6,12,1.676454
4000,500,6,12,1.679946
4000,500,6,12,1.689668
5000,500,6,12,2.659577
5000,500,6,12,2.671714
5000,500,6,12,2.660533
5000,500,6,12,2.661741
5000,500,6,12,2.668148
5000,500,6,12,2.647393
5000,500,6,12,2.652724
5000,500,6,12,2.657415
5000,500,6,12,2.647292
5000,500,6,12,2.65024
6000,500,6,12,3.789395
6000,500,6,12,3.787593
6000,500,6,12,3.78407
6000,500,6,12,3.79501
6000,500,6,12,3.792571
6000,500,6,12,3.783362
6000,500,6,12,3.783505
6000,500,6,12,3.783622
6000,500,6,12,3.790785
6000,500,6,12,3.783979
7000,500,6,12,5.091244
7000,500,6,12,5.121065
7000,500,6,12,5.099237
7000,500,6,12,5.097974
7000,500,6,12,5.115964
7000,500,6,12,5.098568
7000,500,6,12,5.092973
7000,500,6,12,5.088533
7000,500,6,12,5.092713
7000,500,6,12,5.105527
8000,500,6,12,6.609878
8000,500,6,12,6.602908
8000,500,6,12,6.606464
8000,500,6,12,6.59283
8000,500,6,12,6.609998
8000,500,6,12,6.611398
8000,500,6,12,6.611135
8000,500,6,12,6.594373
8000,500,6,12,6.605137
8000,500,6,12,6.597787
9000,500,6,12,8.471589
9000,500,6,12,8.472211
9000,500,6,12,8.483806
9000,500,6,12,8.48127
